, subjectID,block, pixl_dist1, pixl_sd1, seqfoil1, rep1, rep_num1, speed1, sspa1
0,65d6026605310835876ce7ce,1,23.509,17.787, seq, False,0,1.842,96.667
1,610106638465b318b18a9ce0,1,26.705,12.197, seq, False,0,1.84,98.333
2,65d563ecf8df20ade2f17888,1,34.784,21.951, seq, False,0,1.998,95.0
3,610ec31b33de16c5167f3062,1,36.38,42.894, seq, False,0,2.002,85.0
4,656f7fba85a23ce8c05f5e01,1,12.158,9.552, foil, False,0,1.742,100.0
5,5d08f7e3c97bc4001a7ea90b,1,17.916,13.118, seq, False,0,1.746,96.667
6,628d78a2ccf4a41f24c2d2d8,1,23.53,15.052, seq, False,0,1.742,100.0
7,60fd3245706969157168ad50,1,11.011,11.391, seq, False,0,1.79,95.0
8,661f49c6c26a5d5790f3fb3e,1,26.525,26.023, foil, False,0,2.186,73.333
9,60123ea20d30e72686a0074b,1,27.857,11.231, seq, False,0,1.742,100.0
10,58460095a7722e0001305499,1,11.902,8.575, seq, False,0,1.84,98.333
11,5fe4e6bf8bcb1f2bd103d1c7,1,11.677,9.141, seq, False,0,1.746,95.0
12,660b85fc839d009dd2c9b61a,1,19.692,24.642, seq, False,0,2.121,85.0
13,65c110fbee035adfc6c92bc5,1,46.681,32.884, seq, False,0,2.258,80.0
14,63e51e528df11f83a1aacab8,1,58.024,25.724, seq, False,0,1.788,98.333
15,65298aca34ac384b783169d4,1,17.063,16.919, seq, False,0,1.814,95.0
16,6635271e3e33851d3a9a7bed,1,21.541,19.025, seq, False,0,2.0,90.0
17,5efd018b8c837e13097c0cbf,1,10.875,7.778, seq, False,0,1.742,100.0
18,60fdd254a027bbf8cee60bf0,1,34.106,17.702, seq, False,0,2.08,86.667
19,62828045bb88107013fe7d54,1,31.088,23.331, seq, False,0,1.944,95.0
20,5f0ec8be70489322b9cb26f1,1,38.102,36.96, foil, False,0,2.095,83.333
21,650cc245b36612c74dcce501,1,18.859,18.659, seq, False,0,1.816,96.667
22,65fdbf50fb3ca2a86de44998,1,32.052,22.891, seq, False,0,1.89,96.667
23,5d4f5ba3cafff0001b4426b3,1,13.549,12.414, seq, False,0,1.84,98.333
24,62fc6762d2d8e46c4e75b469,1,13.838,9.876, seq, False,0,1.742,100.0
25,6168b61ad8c0d63b37a92109,1,14.235,9.189, seq, False,0,1.742,100.0
26,5a6eac90d5d4cb0001d6815a,1,30.023,24.052, foil, False,0,1.742,100.0
27,6632baca722ad82b9522bfcb,1,20.49,15.414, seq, False,0,1.814,98.333
28,663bd182cd0581b39123c31e,1,23.163,18.226, foil, False,0,1.892,98.333
29,63e52ae1972fba93f88c63d2,1,16.205,8.921, seq, False,0,1.766,98.333
30,6384ec504af00dd4483f521e,1,26.94,23.302, foil, False,0,1.864,96.667
31,65c11e68379ff4faa4eba6d9,1,18.892,22.286, seq, False,0,1.814,98.333
32,610049da8150fc6d3e6d6edc,1,44.38,17.899, foil, False,0,1.742,100.0
33,61187c7698dcd8dbdb9cf71b,1,17.404,11.545, foil, False,0,1.866,95.0
34,5f81fc9446ee002f681ea5e3,1,21.772,13.246, foil, False,0,1.864,96.667
35,5c005838232b6c0001221acf,1,28.266,20.918, seq, False,0,1.864,96.667
36,62d488043c7590e53ee7683f,1,45.224,28.263, foil, False,0,2.185,75.0
37,606f3058977e247974d43fc2,1,24.42,23.491, seq, False,0,1.92,93.333
38,66213d708da7fb804d990fd9,1,19.241,21.015, seq, False,0,1.896,98.333
39,60cef7be32400c5dd5a5a10f,1,30.712,22.748, seq, False,0,2.31,66.667
40,650afc00d748aa554ebde221,1,39.343,26.009, seq, False,0,1.742,100.0
41,5e566d19df03b701e6278872,1,14.795,9.052, seq, False,0,1.84,98.333
42,663c30838dca3f4b3decdd98,1,30.298,25.917, seq, False,0,1.84,98.333
43,66438bd9fb5f98e37d2c8539,1,18.986,13.576, seq, False,0,1.955,96.667
44,5ed7fe668550fa2f546bebfb,1,28.957,16.484, seq, False,0,1.768,96.667
45,53987712fdf99b68e3a45021,1,30.317,12.751, seq, False,0,1.742,100.0
46,663d676f4613048ac1916477,1,24.023,13.113, seq, False,0,1.896,93.333
47,5bbc1048fc482300014b0e9e,1,30.859,23.172, seq, False,0,1.892,93.333
48,6104d73b7cdac0a47a905f0d,1,32.43,21.524, foil, False,0,2.026,93.333
49,65e686420ea25196de9139d5,1,54.89,22.018, foil, False,0,1.838,96.667
50,63e2e62c8158920782631eef,1,41.668,23.466, seq, False,0,1.944,93.333
51,66295b48e3ab8db70b60b387,1,73.145,24.688, seq, False,0,2.15,85.0
52,5c819d075497fe0016a64c7e,1,27.808,28.321, seq, False,0,2.126,81.667
53,636598a7a571403968d03bf2,1,53.396,36.462, seq, False,0,1.84,95.0
54,65707e9db593e1e6c2e7b416,1,33.768,20.841, seq, False,0,1.866,95.0
55,61735e55ab7dfe9f9e48cb87,1,15.053,10.178, seq, False,0,1.746,96.667
56,65cbdbc2d854fbc1b6c701e6,1,25.14,19.863, seq, False,0,1.742,100.0
57,662db989de4b2d2e14a91111,1,21.861,24.027, seq, False,0,2.058,90.0
58,5f515135ee76123824f013a0,1,23.32,32.012, seq, False,0,2.066,76.667
59,65c138380d9f69bff3c1598b,1,27.604,25.163, seq, False,0,1.892,95.0
60,664921b8a4c8fcf533571f7a,1,18.108,21.121, seq, False,0,1.84,98.333
61,6564b279c75a09e2e42f9550,1,32.075,32.186, foil, False,0,1.948,86.667
62,62c9024c3181d7800e31a759,1,25.057,19.019, foil, False,0,1.944,93.333
63,6647c4c19f0c2b24d6411dbb,1,37.145,19.227, foil, False,0,2.0,93.333
64,65d3958a8a5c879c9f684b9d,1,16.147,12.422, foil, False,0,1.742,100.0
65,5ec06f59c4ceb1481f225bbd,1,61.66,31.748, foil, False,0,2.026,91.667
66,627b5aecd9b0673d05d2de9c,1,9.092,5.92, seq, False,0,1.742,100.0
67,610453aa4fc6ac47f96ddeea,1,25.4,21.064, seq, False,0,2.261,55.0
68,63e5bbe4aa8fac2e51d4fe5c,1,14.463,12.74, foil, False,0,1.742,100.0
69,5d268981c22768000166c7c7,1,25.765,14.19, seq, False,0,1.742,100.0
